;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (KRW/USD)
2010.0;;;;;;;7.0;;;;;;;;;;;;60.14;;;;;;;;;;;6.23;11.34;;15.78;;7.12;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7535.29;536.78;265.8;;941.3;12579.83;7.0;0.0;0.0;;52362.0;11.3;3708.0;3730.0;-50.9;7.1;62278.0;;87416.0;-0.7;-0.4;4.3;100.0;;
2011.0;52.0;30.0;10.0;3.0;5.0;13.0;7.0;65.0;120.0;11.0;20.0;92.0;1.0;-3.0;-0.0;-2.0;-5.0;22.0;57.82;24.0;4.0;15.0;9.0;6.0;5.0;46.0;2.0;0.0;4.0;19.33;5.5;2.0;8.76;-7.0;25.97;1.91;1.91;7.0;;38.0;14.0;52.0;6.0;;7.0;2.0;7.0;31.0;38.0;1.0;7.0;6.0;55.0;;5.0;;0.0;4.0;2.0;0.0;7.0;1.0;1.0;9.0;;0.0;;3.0;18.0;3.0;68.0;112.0;8.0;120.0;;13.0;4.0;;;-19.0;1.0;;-1.0;-8.0;2.0;-6.0;;-2.0;5.0;-4.0;-0.0;;;;;0.0;38.0;40.0;;0.0;8271.38;2148.25;-738.53;;908.2;14654.69;7.0;0.0;0.0;;57477.0;5.5;4088.0;14928.0;-158.1;26.0;59771.0;99.0;101834.0;16.2;5.7;14.7;100.0;;0.001
2012.0;52.0;21.0;-3.0;-17.0;-16.0;-11.0;7.0;61.0;99.0;9.0;18.0;81.0;-1.0;-5.0;0.0;-5.0;-5.0;31.0;39.59;25.0;6.0;15.0;11.0;4.0;3.0;56.0;2.0;0.0;5.0;-6.44;-32.01;1.0;-30.5;2.0;-21.16;-1.85;-1.85;7.0;;33.0;16.0;49.0;6.0;;6.0;3.0;3.0;18.0;22.0;1.0;7.0;5.0;38.0;;5.0;;1.0;3.0;2.0;;8.0;;1.0;9.0;;;;3.0;7.0;3.0;68.0;99.0;0.0;99.0;;-11.0;5.0;;;-3.0;-1.0;;-1.0;-1.0;8.0;-4.0;1.0;-2.0;;-2.0;-0.0;;;;0.0;-0.0;33.0;38.0;;0.0;8315.13;-1759.13;-725.44;;620.96;12889.67;7.0;-0.0;-0.0;;57781.0;-32.0;5865.0;-12224.0;-14.7;-21.2;57554.0;;89569.0;-11.0;-8.7;-13.6;100.0;;0.001
2013.0;43.0;11.0;-6.0;-15.0;-13.0;-17.0;7.0;53.0;79.0;10.0;17.0;62.0;-3.0;-1.0;-1.0;-5.0;-4.0;32.0;25.76;21.0;6.0;12.0;10.0;2.0;3.0;53.0;1.0;0.0;6.0;-14.11;-35.08;2.0;-30.67;5.0;-38.98;-2.33;-2.33;7.0;;28.0;16.0;44.0;5.0;;4.0;2.0;1.0;11.0;13.0;;6.0;5.0;26.0;;4.0;;0.0;5.0;1.0;;6.0;;0.0;7.0;;;;3.0;-10.0;2.0;68.0;79.0;-0.0;79.0;;-17.0;6.0;;;3.0;1.0;;-1.0;2.0;4.0;-1.0;1.0;-0.0;;-1.0;-1.0;;;;;-0.0;28.0;33.0;;0.0;6862.24;-2674.96;-692.2;;225.36;9977.84;7.0;-0.0;-0.0;;47685.0;-35.1;6709.0;-18588.0;-34.9;-39.0;47251.0;;69335.0;-23.6;-15.3;-26.8;100.0;;0.001
2014.0;36.0;5.0;-5.0;-11.0;-10.0;-19.0;7.0;46.0;57.0;9.0;14.0;43.0;-6.0;3.0;-0.0;-3.0;-6.0;31.0;14.29;16.0;4.0;;;;11.0;47.0;1.0;0.0;5.0;-13.28;-29.65;1.0;-27.21;9.0;-52.41;-2.59;-2.59;7.0;;26.0;13.0;39.0;5.0;;2.0;1.0;1.0;8.0;9.0;1.0;;-0.0;11.0;;2.0;;0.0;5.0;1.0;;5.0;;0.0;5.0;;;;3.0;-29.0;1.0;68.0;57.0;-0.0;57.0;;-19.0;5.0;;;8.0;0.0;;-2.0;6.0;0.0;-0.0;;-37.0;41.0;0.0;-0.0;;;;;-0.0;26.0;28.0;;0.0;5740.33;-3008.68;-933.82;;49.22;6947.14;7.0;-0.0;-0.0;;39889.0;-29.7;5454.0;-20907.0;-93.5;-52.4;41041.0;;48275.0;-38.6;-16.9;-43.3;100.0;;0.001
2015.0;32.0;5.0;-10.0;-16.0;-14.0;-15.0;7.0;39.0;41.0;8.0;14.0;27.0;-5.0;2.0;-0.0;-3.0;-6.0;27.0;15.08;15.0;5.0;;;;10.0;42.0;1.0;0.0;4.0;-30.42;-48.31;1.0;-43.97;1.0;-47.57;-2.2;-2.2;7.0;;22.0;10.0;33.0;5.0;;2.0;1.0;;0.0;0.0;;;1.0;2.0;;3.0;;;4.0;1.0;;6.0;;0.0;6.0;;;;3.0;-44.0;1.0;68.0;42.0;-0.0;41.0;;-15.0;4.0;;;1.0;0.0;;0.0;0.0;5.0;-0.0;;-44.0;47.0;0.0;-0.0;;;;;0.0;22.0;26.0;;0.0;5131.75;-2441.39;-920.43;;60.15;4386.74;7.0;-0.0;-0.0;;35660.0;-48.3;4763.0;-16965.0;-8.6;-47.6;34872.0;;30483.0;-45.3;-33.8;-55.7;100.0;;0.001
2016.0;44.0;18.0;3.0;3.0;3.0;0.0;7.0;45.0;47.0;18.0;21.0;26.0;2.0;-9.0;-0.0;-7.0;2.0;25.0;41.64;15.0;2.0;;;;14.0;41.0;0.0;;0.0;7.25;6.66;-0.0;6.65;3.0;0.49;-0.09;-0.09;7.0;;14.0;19.0;33.0;10.0;;2.0;1.0;;0.0;0.0;1.0;;-0.0;2.0;;9.0;;0.0;8.0;1.0;;3.0;;0.0;4.0;;;;3.0;-41.0;1.0;64.0;47.0;-0.0;47.0;;0.0;0.0;;;1.0;-5.0;;1.0;6.0;1.0;-0.0;;-45.0;37.0;0.0;-0.0;;;;;0.0;14.0;21.0;;0.0;7396.28;35.98;323.79;;25.62;4411.63;7.0;0.1;0.0;;51396.0;6.7;237.0;250.0;94.8;0.5;32705.0;;30656.0;0.5;6.3;0.8;100.0;;0.001
2017.0;133.0;44.0;14.0;13.0;14.0;12.0;7.0;102.0;109.0;61.0;67.0;42.0;24.0;-3.0;;21.0;23.0;88.0;33.46;31.0;5.0;26.0;14.0;12.0;0.0;119.0;1.0;0.0;0.0;10.59;9.91;0.0;10.21;1.0;9.4;1.8;1.8;7.0;;37.0;21.0;58.0;40.0;;4.0;1.0;;1.0;1.0;1.0;3.0;1.0;7.0;;42.0;;3.0;15.0;4.0;;6.0;;1.0;7.0;;;;3.0;13.0;-0.0;25.0;109.0;-1.0;109.0;;12.0;0.0;1.0;;12.0;-26.0;;33.0;6.0;-2.0;-2.0;;-0.0;0.0;-1.0;;;;;;-1.0;37.0;16.0;;0.0;20383.69;1916.99;3464.66;;297.07;6413.49;7.0;0.0;0.0;;141623.0;9.9;520.0;13319.0;7.9;9.4;44127.0;;44560.0;25.8;12.4;29.9;100.0;;0.001
2018.0;258.0;69.0;32.0;30.0;31.0;28.0;7.0;144.0;156.0;84.0;88.0;68.0;32.0;10.0;-0.0;42.0;30.0;189.0;26.76;38.0;7.0;31.0;15.0;16.0;1.0;227.0;1.0;0.0;1.0;12.53;11.64;1.0;12.01;3.0;10.96;4.06;4.06;7.0;;77.0;9.0;86.0;55.0;;3.0;1.0;;1.0;1.0;1.0;7.0;1.0;12.0;;65.0;;4.0;15.0;5.0;;3.0;;0.0;4.0;;;;3.0;41.0;0.0;24.0;156.0;-1.0;156.0;;28.0;1.0;3.0;;6.0;-17.0;;25.0;-3.0;-6.0;-2.0;;;12.0;-1.0;-0.0;;;;;0.0;77.0;35.0;;0.0;41268.4;4524.89;4853.0;;323.65;10959.72;7.0;0.0;0.0;;286770.0;11.6;1413.0;31443.0;8.9;11.0;66647.0;;76158.0;39.2;19.9;41.3;100.0;;0.001
2019.0;313.0;82.0;48.0;42.0;44.0;35.0;7.0;135.0;152.0;48.0;52.0;100.0;23.0;-28.0;-1.0;-6.0;21.0;230.0;26.37;40.0;8.0;31.0;18.0;13.0;1.0;270.0;1.0;0.0;3.0;15.33;13.48;2.0;14.2;10.0;11.05;4.97;4.97;7.0;;69.0;34.0;103.0;28.0;;4.0;6.0;;1.0;1.0;2.0;7.0;2.0;17.0;;32.0;;4.0;9.0;7.0;;0.0;0.0;3.0;3.0;;;;3.0;73.0;0.0;23.0;152.0;0.0;152.0;;35.0;3.0;10.0;;-15.0;26.0;;-32.0;-10.0;-10.0;-2.0;;-26.0;0.0;-1.0;-2.0;;;;0.0;1.0;69.0;75.0;;0.0;51945.92;5738.46;3457.81;;337.18;16627.67;7.0;0.0;0.0;;360967.0;13.5;3653.0;39876.0;22.5;11.0;100076.0;;115544.0;33.5;29.5;34.5;100.0;;0.001
2020.0;374.0;154.0;86.0;81.0;81.0;58.0;7.0;227.0;244.0;76.0;81.0;163.0;64.0;-33.0;-2.0;29.0;61.0;220.0;41.12;71.0;14.0;56.0;28.0;28.0;2.0;291.0;1.0;0.0;5.0;22.97;21.77;-0.0;21.68;23.0;15.45;8.31;8.31;7.0;;102.0;66.0;168.0;55.0;;4.0;7.0;;3.0;3.0;1.0;3.0;3.0;17.0;;49.0;;11.0;13.0;15.0;;0.0;;5.0;5.0;;;;3.0;136.0;;24.0;244.0;0.0;244.0;;58.0;5.0;23.0;;-12.0;-27.0;;14.0;6.0;-9.0;-3.0;;-30.0;0.0;-2.0;-3.0;;;;0.0;-0.0;102.0;73.0;;0.0;58419.75;9023.44;9520.93;;531.88;25458.71;7.0;0.0;0.0;;405953.0;21.8;4920.0;62703.0;28.9;15.4;163865.0;;176910.0;34.5;33.3;35.4;100.0;;0.001
2021.0;348.0;160.0;86.0;82.0;84.0;55.0;107.0;257.0;275.0;62.0;68.0;207.0;62.0;-69.0;-3.0;-10.0;59.0;189.0;45.84;78.0;;78.0;;;;266.0;4.0;2.0;;24.65;23.57;1.0;23.99;28.0;15.93;0.53;0.52;105.0;;83.0;125.0;208.0;45.0;;4.0;10.0;;;3.0;3.0;1.0;2.0;18.0;;35.0;;12.0;11.0;16.0;;0.0;;6.0;6.0;;;;3.0;179.0;;25.0;275.0;1.0;275.0;;55.0;;;;-2.0;;;;;9.0;-4.0;;-66.0;1.0;-2.0;-3.0;;;;0.0;0.0;83.0;93.0;;0.0;3946.06;628.67;667.04;;40.15;2345.79;105.0;0.2;0.0;;413938.0;23.6;;65947.0;33.7;15.9;232137.0;;246071.0;26.8;31.2;26.8;100.0;;0.001
