;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
2009.0;9.0;7.0;-15.0;-19.0;-19.0;-15.0;1.0;30.0;31.0;7.0;7.0;19.0;-17.0;-0.0;9.0;-2.0;-17.0;2.0;77.37;26.0;15.0;11.0;5.0;6.0;0.0;28.0;;0.0;0.0;-167.17;-213.29;-0.0;-213.38;0.0;-169.8;-15.01;-15.01;1.0;;27.0;;27.0;2.0;1.0;0.0;0.0;;;;;;;0.0;;7.0;;;;1.0;;;;0.0;0.0;;;;167.0;-145.0;-2.0;-0.0;26.0;4.0;31.0;;-15.0;0.0;;1.0;1.0;0.0;0.0;1.0;-1.0;-4.0;-0.0;;;;0.0;;8.0;;;2.0;6.0;26.0;28.0;;0.81;10.96;-18.6;-20.34;;0.09;23.27;1.0;-1.0;-0.0;;11.0;-213.3;0.0;-19.0;-0.0;-169.8;29.0;;24.0;-79.1;-57.8;-79.9;100.0;;0.807
2010.0;8.0;6.0;-10.0;-13.0;-13.0;-10.0;1.0;16.0;16.0;5.0;5.0;9.0;-14.0;-0.0;;-15.0;-14.0;2.0;77.63;19.0;7.0;12.0;9.0;4.0;;21.0;;0.0;0.0;-122.35;-153.69;-0.0;-153.77;0.0;-124.6;-10.16;-10.16;1.0;;10.0;;10.0;1.0;1.0;3.0;0.0;;;;;;;0.0;;2.0;;;;3.0;;;;0.0;0.0;;;;173.0;-161.0;-3.0;;15.0;2.0;16.0;;-10.0;0.0;;1.0;-2.0;0.0;-0.0;-2.0;0.0;-2.0;-0.0;;;;0.0;;;;;;-1.0;12.0;27.0;;0.84;9.7;-12.09;-16.28;;0.02;10.96;1.0;-0.7;-0.0;;10.0;-153.7;0.0;-12.0;-0.1;-124.6;13.0;;11.0;-108.7;-71.2;-110.3;100.0;;0.84
2011.0;2.0;2.0;-7.0;-12.0;-12.0;-7.0;1.0;14.0;14.0;9.0;9.0;5.0;-9.0;0.0;1.0;-9.0;-9.0;;100.0;14.0;4.0;10.0;10.0;;;14.0;;0.0;0.0;-315.85;-564.89;1.0;-540.49;0.0;-320.89;-6.86;-6.86;1.0;;6.0;;6.0;5.0;1.0;1.0;0.0;;;;;;;0.0;;2.0;;;2.0;4.0;;;;0.0;0.0;;;;208.0;-200.0;-4.0;;13.0;0.0;14.0;;-7.0;0.0;;1.0;0.0;-1.0;1.0;;2.0;-3.0;-0.0;;;;0.0;;1.0;;;;-2.0;6.0;15.0;;1.07;1.98;-6.36;-8.58;;0.05;4.14;1.0;-1.1;-0.1;;2.0;-564.9;0.0;-6.0;-0.0;-320.9;4.0;;4.0;-149.5;-51.7;-153.7;100.0;;1.072
2012.0;2.0;2.0;1.0;-10.0;-9.0;1.0;1.0;9.0;9.0;4.0;4.0;4.0;-8.0;8.0;2.0;2.0;-8.0;;100.0;11.0;6.0;6.0;6.0;;;11.0;;;0.0;88.17;-639.72;1.0;-577.79;;86.52;1.33;1.33;1.0;;9.0;;9.0;0.0;;1.0;0.0;;;;;;;0.0;;1.0;;;1.0;2.0;;;;0.0;0.0;;;;204.0;-196.0;-4.0;;8.0;2.0;9.0;;1.0;0.0;;1.0;1.0;2.0;1.0;-3.0;-2.0;-11.0;-0.0;8.0;;;0.0;;2.0;;;;-0.0;8.0;6.0;;1.02;1.48;1.28;-7.18;;0.0;3.39;1.0;3.0;0.2;;2.0;-639.7;0.0;1.0;;86.5;5.0;;3.0;37.6;17.8;37.7;100.0;23.8;1.023
2013.0;1.0;1.0;-1.0;-2.0;-1.0;-1.0;1.0;3.0;5.0;2.0;2.0;4.0;-8.0;0.0;3.0;-5.0;-8.0;;104.22;3.0;0.0;3.0;3.0;;;3.0;0.0;0.0;0.0;-52.76;-191.1;0.0;-141.33;;-96.63;-0.82;-0.82;1.0;;3.0;;3.0;0.0;;0.0;0.0;;2.0;2.0;0.0;;;2.0;;0.0;1.0;;;0.0;;;;;;;;;126.0;-122.0;0.0;;5.0;;5.0;;-1.0;0.0;;0.0;-3.0;0.0;;;-0.0;-5.0;-0.0;0.0;;;0.0;;3.0;;;-0.0;;3.0;8.0;;0.91;0.93;-0.9;-7.68;;0.01;3.52;1.0;-21.1;-1.2;;1.0;-191.1;0.0;-1.0;;-96.6;1.0;;4.0;-22.2;-15.6;-25.5;100.0;;0.914
2014.0;;0.0;-5.0;-6.0;-7.0;-7.0;2.0;2.0;4.0;3.0;3.0;1.0;-5.0;-0.0;5.0;-0.0;-5.0;;inf;6.0;2.0;4.0;4.0;;;6.0;0.0;1.0;1.0;-inf;-inf;-1.0;-inf;;-inf;-4.49;-4.49;2.0;;2.0;;2.0;0.0;;0.0;0.0;;2.0;2.0;0.0;;;2.0;;0.0;3.0;;;0.0;;;;;;;;;134.0;-133.0;0.0;;4.0;-0.0;4.0;;-7.0;1.0;;;0.0;0.0;;;0.0;1.0;-0.0;;;;;;;;;5.0;;2.0;3.0;;0.94;;-4.77;-3.66;;0.02;0.96;2.0;-3.1;-0.2;;;-inf;1.0;-7.0;;-inf;-1.0;;2.0;-417.9;-132.7;-494.2;100.0;;0.943
2015.0;;0.0;-6.0;-6.0;-6.0;-5.0;2.0;34.0;36.0;1.0;1.0;34.0;-4.0;-0.0;37.0;32.0;-5.0;;inf;6.0;3.0;3.0;3.0;;-0.0;6.0;0.0;0.0;0.0;-inf;-inf;1.0;-inf;;-inf;-2.3;-2.3;2.0;;34.0;;34.0;0.0;;0.0;0.0;;1.0;1.0;0.0;;;1.0;;1.0;;;;1.0;;;;;;;;;147.0;-114.0;1.0;1.0;36.0;-0.0;36.0;;-5.0;0.0;;;1.0;-0.0;;;0.0;-0.0;-0.0;;;;0.0;;39.0;;;-2.0;0.0;34.0;2.0;;0.77;;-2.99;-2.46;;0.04;18.73;2.0;-5.0;-0.3;;;-inf;1.0;-7.0;;-inf;43.0;;45.0;-18.0;-17.3;-16.0;100.0;;0.77
2016.0;;;-9.0;-10.0;-9.0;-9.0;4.0;25.0;26.0;1.0;1.0;25.0;-9.0;-0.0;1.0;-8.0;-9.0;;;10.0;5.0;4.0;4.0;;-0.0;10.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-2.1;-2.1;4.0;;25.0;;25.0;0.0;;0.0;0.0;;1.0;1.0;0.0;;;1.0;;0.0;0.0;;;1.0;;;;0.0;0.0;;0.0;;143.0;-120.0;1.0;1.0;26.0;;26.0;;-9.0;0.0;;0.0;-1.0;0.0;;;-0.0;-0.0;-0.0;;;;;;1.0;;;-0.0;1.0;25.0;33.0;;0.74;;-2.82;-2.93;;0.12;7.94;4.0;-2.8;-0.1;;;-inf;1.0;-12.0;;-inf;33.0;;34.0;-36.3;-34.8;-35.5;100.0;;0.745
2017.0;;;-7.0;-8.0;-8.0;-8.0;5.0;15.0;28.0;4.0;8.0;19.0;-9.0;-5.0;-0.0;-15.0;-9.0;;;8.0;2.0;6.0;6.0;;-0.0;8.0;0.0;1.0;1.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-1.75;-1.75;5.0;;11.0;;11.0;3.0;;1.0;0.0;;12.0;12.0;0.0;;;13.0;;1.0;0.0;;0.0;3.0;;;3.0;1.0;4.0;;0.0;;149.0;-131.0;1.0;0.0;28.0;;28.0;;-8.0;1.0;;0.0;-3.0;-3.0;;;-0.0;1.0;-0.0;-5.0;;;-0.0;;;;;-0.0;-0.0;11.0;26.0;;0.77;;-2.28;-2.45;;0.0;5.42;5.0;-1.8;-0.1;;;-inf;1.0;-11.0;1.8;-inf;14.0;;25.0;-32.4;-28.1;-42.1;100.0;;0.769
2018.0;;;-11.0;-9.0;-5.0;-4.0;5.0;7.0;21.0;3.0;7.0;14.0;-6.0;0.0;;-6.0;-6.0;;;9.0;6.0;4.0;4.0;;-1.0;9.0;0.0;;1.0;-inf;-inf;5.0;-inf;-0.0;-inf;-0.92;-0.92;5.0;;4.0;;4.0;2.0;;1.0;0.0;;11.0;11.0;3.0;;;14.0;;1.0;0.0;;0.0;2.0;;;3.0;1.0;4.0;;0.0;;23.0;-11.0;1.0;0.0;21.0;;21.0;;-4.0;1.0;;0.0;1.0;1.0;;;-0.0;-4.0;;;;;0.0;;;;;;0.0;4.0;11.0;;0.74;;-1.25;-1.79;;;3.98;5.0;-3.2;-0.1;;;-inf;2.0;-6.0;4.8;-inf;5.0;;19.0;-66.8;-60.5;-31.4;100.0;;0.74
2019.0;;;-4.0;-6.0;-7.0;-7.0;6.0;5.0;15.0;1.0;5.0;10.0;-5.0;2.0;3.0;-0.0;-5.0;;;6.0;4.0;3.0;3.0;;-0.0;6.0;0.0;;1.0;-inf;-inf;-1.0;-inf;-0.0;-inf;-1.25;-1.25;6.0;;4.0;;4.0;1.0;;0.0;;;9.0;9.0;0.0;;;10.0;;1.0;;;;1.0;;;3.0;1.0;4.0;;;;26.0;-18.0;1.0;0.0;15.0;;15.0;;-7.0;1.0;;0.0;0.0;1.0;;;-0.0;1.0;;;;2.0;;;3.0;;;;0.0;4.0;4.0;;0.7;;-1.79;-1.17;;;2.47;6.0;-2.0;-0.1;;;-inf;1.0;-10.0;2.8;-inf;6.0;;14.0;-35.0;-32.8;-72.3;100.0;;0.702
2020.0;;;-7.0;-8.0;-9.0;-9.0;7.0;7.0;16.0;3.0;6.0;10.0;-6.0;;8.0;2.0;-6.0;;;8.0;6.0;3.0;3.0;;-0.0;8.0;0.0;;1.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-1.18;-1.18;7.0;;6.0;;6.0;1.0;;0.0;;;9.0;9.0;;;;9.0;;1.0;;;;2.0;;;2.0;0.0;3.0;;;;34.0;-25.0;1.0;0.0;16.0;;16.0;;-9.0;1.0;;0.0;1.0;0.0;;;-0.0;0.0;;;;;;;8.0;;;;;6.0;4.0;;0.69;;-1.71;-1.21;;;1.93;7.0;-3.2;-0.1;;;-inf;1.0;-12.0;2.3;-inf;6.0;;14.0;-62.7;-50.1;-88.3;100.0;;0.69
2021.0;11.0;;-6.0;-5.0;-7.0;-6.0;12.0;22.0;44.0;6.0;15.0;28.0;-7.0;;21.0;14.0;-7.0;;;16.0;11.0;5.0;5.0;;-0.0;16.0;0.0;;1.0;-50.33;-42.01;-2.0;-58.66;-0.0;-55.47;-0.54;-0.54;12.0;;21.0;;21.0;0.0;;1.0;;;16.0;16.0;;;5.0;22.0;;1.0;;;;5.0;;;2.0;7.0;9.0;;;;60.0;-33.0;1.0;0.0;44.0;;44.0;;-6.0;1.0;;0.0;-4.0;-4.0;;;-0.0;2.0;;;;;;;21.0;;;;-0.0;21.0;7.0;;0.75;1.29;-0.72;-0.77;;;3.22;12.0;-14.7;-0.5;;15.0;-42.0;1.0;-8.0;5.4;-55.5;21.0;;38.0;-16.9;-15.3;-22.3;100.0;;0.75
