;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ILS/USD)
2008.0;92.0;18.0;2.0;2.0;0.0;-0.0;10.0;55.0;72.0;23.0;23.0;46.0;5.0;-1.0;0.0;5.0;4.0;75.0;19.35;16.0;;15.0;6.0;9.0;1.0;90.0;1.0;0.0;1.0;1.87;2.13;-2.0;0.49;0.0;-0.23;-0.02;-0.02;10.0;;21.0;2.0;23.0;23.0;9.0;;11.0;1.0;1.0;2.0;;0.0;3.0;17.0;;14.0;5.0;0.0;;4.0;0.0;;;0.0;0.0;;;;0.0;29.0;0.0;16.0;69.0;4.0;72.0;;-0.0;1.0;;;;;;;;4.0;-1.0;-4.0;;4.0;-0.0;-1.0;;;-0.0;2.0;-0.0;21.0;16.0;;0.26;34.01;-0.08;1.49;0.03;0.35;16.77;10.0;-55.0;-2.6;0.6;349.0;2.1;5.0;-1.0;84.5;-0.2;123.0;0.0;172.0;0.1;0.6;-0.5;134.2;;0.265
2009.0;80.0;22.0;11.0;9.0;9.0;8.0;10.0;59.0;75.0;20.0;20.0;54.0;5.0;-1.0;-2.0;2.0;4.0;58.0;27.64;13.0;;15.0;5.0;9.0;-1.0;71.0;0.0;0.0;2.0;13.85;10.93;0.0;11.42;1.0;10.03;0.78;0.78;10.0;;23.0;3.0;26.0;21.0;12.0;;10.0;1.0;1.0;2.0;;0.0;4.0;16.0;;13.0;3.0;1.0;;4.0;0.0;;0.0;0.0;0.0;;;;0.0;37.0;0.0;16.0;74.0;1.0;75.0;;8.0;2.0;0.0;;-4.0;-2.0;-3.0;1.0;;-2.0;-0.0;-0.0;-0.0;0.0;0.0;-1.0;;;;-1.0;-0.0;23.0;21.0;;0.26;29.55;2.96;1.54;;0.18;19.76;10.0;1.0;0.0;;303.0;10.9;6.0;30.0;14.6;10.0;148.0;0.0;203.0;15.1;13.0;15.0;100.0;;0.264
2010.0;99.0;29.0;12.0;10.0;11.0;8.0;13.0;87.0;104.0;17.0;17.0;85.0;6.0;-17.0;19.0;8.0;4.0;70.0;28.93;19.0;;19.0;6.0;13.0;-0.0;89.0;1.0;0.0;2.0;12.32;9.64;1.0;10.85;2.0;8.09;0.62;0.62;13.0;;32.0;19.0;51.0;25.0;11.0;0.0;14.0;1.0;1.0;2.0;;0.0;1.0;17.0;;9.0;2.0;2.0;0.0;6.0;0.0;;0.0;0.0;1.0;;;;0.0;48.0;0.0;37.0;103.0;2.0;104.0;;8.0;2.0;0.0;;-4.0;-2.0;2.0;;-1.0;-1.0;-2.0;;;0.0;-15.0;-1.0;20.0;;;0.0;;32.0;25.0;;0.28;27.05;2.19;1.1;;0.48;23.4;13.0;2.8;0.1;;348.0;9.6;6.0;28.0;22.4;8.1;249.0;0.0;301.0;9.5;10.3;9.4;100.0;-494.4;0.284
2011.0;69.0;16.0;7.0;4.0;5.0;5.0;14.0;80.0;91.0;10.0;10.0;81.0;6.0;-24.0;-3.0;-21.0;6.0;53.0;23.34;12.0;;12.0;4.0;7.0;0.0;65.0;1.0;0.0;1.0;9.75;6.46;0.0;6.9;1.0;6.93;0.35;0.35;14.0;;9.0;43.0;52.0;19.0;9.0;;11.0;0.0;;0.0;;0.0;0.0;11.0;;7.0;;1.0;0.0;3.0;;;;0.0;0.0;;;;0.0;49.0;0.0;31.0;91.0;;91.0;;5.0;1.0;-0.0;0.0;0.0;-2.0;0.0;;;0.0;-0.0;;;;-23.0;;;;;-3.0;;9.0;30.0;;0.26;19.49;1.35;1.57;;0.12;22.88;14.0;4.8;0.3;;264.0;6.5;4.0;18.0;21.4;6.9;267.0;;310.0;5.6;6.4;5.9;100.0;;0.262
2012.0;77.0;18.0;9.0;6.0;8.0;6.0;13.0;92.0;103.0;13.0;14.0;89.0;-2.0;6.0;2.0;6.0;-2.0;58.0;24.1;12.0;;12.0;4.0;8.0;0.0;70.0;1.0;0.0;1.0;12.19;8.19;2.0;11.09;2.0;8.38;0.5;0.5;13.0;;15.0;42.0;58.0;20.0;13.0;0.0;11.0;0.0;;0.0;;0.0;0.0;11.0;;7.0;3.0;1.0;0.0;4.0;;;;0.0;0.0;;;;0.0;57.0;0.0;32.0;103.0;;103.0;;6.0;1.0;;0.0;-8.0;;-4.0;;0.0;-1.0;-0.0;;;;6.0;;;-0.0;;3.0;;15.0;9.0;;0.27;22.08;1.85;-0.67;;0.13;25.72;13.0;2.4;0.2;;287.0;8.2;3.0;24.0;24.4;8.4;293.0;;334.0;7.2;8.3;7.2;100.0;-8.0;0.268
2013.0;97.0;24.0;13.0;8.0;12.0;9.0;13.0;102.0;114.0;8.0;8.0;105.0;1.0;-4.0;-3.0;-6.0;-1.0;73.0;24.9;16.0;;15.0;5.0;10.0;1.0;88.0;1.0;;1.0;13.62;8.69;3.0;12.3;3.0;9.47;0.71;0.71;13.0;;10.0;51.0;62.0;24.0;16.0;0.0;12.0;0.0;;0.0;;;0.0;12.0;;6.0;0.0;0.0;0.0;2.0;;;0.0;0.0;0.0;;;;0.0;70.0;0.0;34.0;114.0;;114.0;;9.0;1.0;;0.0;-6.0;;-1.0;;0.0;-3.0;-2.0;;;16.0;-19.0;;;;;-3.0;;10.0;17.0;;0.29;25.9;2.45;-0.18;;0.47;28.2;13.0;2.8;0.2;;336.0;8.7;4.0;32.0;23.0;9.5;326.0;;366.0;8.7;10.5;8.7;100.0;;0.288
2014.0;84.0;20.0;8.0;6.0;7.0;5.0;13.0;94.0;105.0;6.0;6.0;99.0;5.0;7.0;-0.0;12.0;3.0;64.0;24.22;14.0;;15.0;5.0;10.0;-0.0;78.0;0.0;;1.0;9.03;7.19;1.0;7.92;2.0;5.74;0.37;0.37;13.0;;21.0;36.0;58.0;23.0;12.0;0.0;12.0;0.0;;0.0;;0.0;0.0;12.0;;4.0;;;0.0;2.0;;;;0.0;0.0;;;;0.0;67.0;0.0;31.0;105.0;;105.0;;5.0;1.0;;1.0;-1.0;;1.0;;-0.0;0.0;-2.0;;-8.0;17.0;0.0;;;;;-0.0;;21.0;9.0;;0.26;25.34;1.45;0.89;;0.62;29.76;13.0;5.0;0.3;;329.0;7.2;4.0;19.0;27.6;5.7;341.0;;386.0;4.9;6.3;4.9;100.0;;0.256
2015.0;80.0;19.0;3.0;2.0;2.0;2.0;13.0;95.0;108.0;5.0;5.0;103.0;4.0;-6.0;2.0;-1.0;3.0;61.0;24.02;18.0;;17.0;7.0;10.0;1.0;78.0;1.0;;1.0;4.2;2.25;1.0;3.01;1.0;2.19;0.13;0.13;13.0;;20.0;42.0;63.0;22.0;9.0;1.0;11.0;0.0;;0.0;;1.0;0.0;12.0;;3.0;0.0;;0.0;1.0;;;;0.0;0.0;;;;0.0;69.0;0.0;33.0;108.0;;108.0;;2.0;1.0;;0.0;1.0;;4.0;;-1.0;-0.0;-1.0;;-6.0;;0.0;;2.0;;;0.0;;20.0;21.0;;0.26;23.84;0.52;0.87;;0.23;30.49;13.0;10.1;0.5;;313.0;2.2;4.0;7.0;27.3;2.2;352.0;;400.0;1.7;2.2;1.7;100.0;-59.9;0.257
2016.0;76.0;20.0;7.0;6.0;4.0;3.0;13.0;95.0;107.0;5.0;5.0;101.0;4.0;13.0;-5.0;13.0;4.0;56.0;26.04;14.0;;14.0;4.0;10.0;0.0;70.0;1.0;2.0;1.0;9.01;7.73;-2.0;5.5;1.0;3.69;0.21;0.21;13.0;;34.0;27.0;61.0;23.0;11.0;1.0;11.0;0.0;;0.0;;1.0;;12.0;;4.0;;;0.0;1.0;;;;0.0;0.0;;;;0.0;68.0;-0.0;33.0;107.0;;107.0;;3.0;1.0;;;-1.0;;-2.0;0.0;0.0;1.0;-0.0;;-2.0;16.0;0.0;;;;-5.0;-0.0;;34.0;21.0;;0.26;22.22;0.82;1.17;1.45;0.14;29.53;13.0;5.6;0.3;31.7;294.0;7.7;4.0;11.0;32.9;3.7;347.0;;391.0;3.9;5.5;2.8;-77.4;124.7;0.259
2017.0;90.0;21.0;11.0;5.0;9.0;7.0;13.0;113.0;125.0;6.0;6.0;119.0;4.0;-9.0;;-5.0;3.0;68.0;23.83;17.0;;16.0;4.0;12.0;1.0;85.0;1.0;1.0;1.0;12.3;5.37;4.0;9.92;2.0;8.02;0.45;0.45;13.0;;32.0;41.0;74.0;28.0;11.0;0.0;12.0;0.0;;0.0;;0.0;;12.0;;4.0;;;0.0;2.0;;;;0.0;0.0;;;;0.0;82.0;-0.0;37.0;125.0;;125.0;;7.0;1.0;;;-0.0;;1.0;;1.0;-4.0;-1.0;;-9.0;1.0;0.0;;;;;;;32.0;37.0;;0.29;23.56;1.89;0.89;;0.2;31.39;13.0;3.4;0.1;;312.0;5.4;4.0;25.0;19.1;8.0;375.0;;416.0;6.7;7.9;6.0;100.0;;0.287
2018.0;90.0;26.0;12.0;10.0;9.0;7.0;13.0;113.0;125.0;7.0;7.0;118.0;7.0;-2.0;;6.0;7.0;64.0;29.04;16.0;;16.0;4.0;12.0;1.0;80.0;1.0;2.0;1.0;12.9;11.17;-1.0;9.7;2.0;7.38;0.51;0.51;13.0;;36.0;37.0;73.0;27.0;13.0;0.0;11.0;0.0;;0.0;;1.0;;11.0;;4.0;;;0.0;2.0;;;;0.0;0.0;;;;0.0;83.0;-0.0;34.0;125.0;;125.0;;7.0;1.0;;;-4.0;;-3.0;;-1.0;4.0;-1.0;;-2.0;1.0;0.0;;;;;;;36.0;30.0;;0.27;25.55;1.89;1.88;;0.16;33.3;13.0;3.7;0.1;;338.0;11.2;4.0;25.0;23.9;7.4;399.0;;441.0;6.9;8.6;5.7;100.0;;0.267
2019.0;114.0;36.0;20.0;14.0;19.0;15.0;13.0;143.0;155.0;12.0;13.0;142.0;-1.0;-2.0;-1.0;-4.0;-1.0;79.0;31.3;22.0;;21.0;5.0;16.0;1.0;101.0;1.0;;1.0;17.71;11.95;5.0;16.49;4.0;13.02;1.13;1.13;13.0;;35.0;41.0;76.0;46.0;21.0;1.0;12.0;0.0;;0.0;;0.0;;12.0;;7.0;0.0;1.0;0.0;4.0;1.0;;;0.0;1.0;;1.0;;0.0;105.0;-0.0;37.0;155.0;;155.0;;15.0;1.0;;;-13.0;;-6.0;;1.0;-4.0;-1.0;;;3.0;-5.0;-0.0;;-0.0;;;;35.0;39.0;;0.29;29.93;3.9;-0.33;;0.14;37.18;13.0;2.5;0.1;;396.0;12.0;5.0;52.0;21.1;13.0;453.0;2.0;491.0;10.4;12.1;10.5;100.0;-14.4;0.289
2020.0;141.0;45.0;23.0;18.0;21.0;16.0;13.0;179.0;196.0;12.0;14.0;182.0;20.0;-8.0;13.0;25.0;19.0;96.0;32.01;27.0;;27.0;6.0;21.0;0.0;123.0;1.0;0.0;2.0;16.43;12.68;3.0;14.9;5.0;11.5;1.21;1.21;13.0;;63.0;48.0;111.0;49.0;18.0;1.0;12.0;0.0;;0.0;4.0;;;17.0;;7.0;0.0;;1.0;4.0;0.0;;0.0;1.0;1.0;;1.0;;0.0;129.0;-0.0;53.0;196.0;;196.0;;16.0;2.0;0.0;;10.0;;4.0;;;-9.0;-1.0;;-6.0;;-0.0;-1.0;13.0;;;;-0.0;63.0;38.0;;0.31;33.8;3.89;4.56;;0.22;43.6;13.0;4.0;0.1;;454.0;12.7;6.0;52.0;22.8;11.5;537.0;2.0;586.0;9.0;10.9;8.9;100.0;-69.3;0.311
2021.0;146.0;44.0;27.0;16.0;19.0;14.0;14.0;178.0;202.0;16.0;18.0;184.0;15.0;5.0;-20.0;-2.0;13.0;102.0;30.45;29.0;;29.0;7.0;21.0;-0.0;130.0;9.0;7.0;2.0;18.61;10.87;3.0;12.73;4.0;9.93;1.04;1.04;14.0;;63.0;50.0;112.0;47.0;19.0;;14.0;0.0;;0.0;10.0;;;24.0;;7.0;0.0;;;9.0;1.0;;1.0;1.0;2.0;;1.0;;0.0;129.0;-0.0;55.0;202.0;;202.0;;14.0;2.0;;;3.0;;-0.0;;0.0;-4.0;-2.0;;;;7.0;-1.0;;;-19.0;;-2.0;63.0;65.0;;0.32;32.75;3.25;2.83;4.33;0.45;41.19;14.0;6.7;0.2;19.8;454.0;10.9;6.0;45.0;22.0;9.9;504.0;3.0;571.0;10.6;12.5;7.9;-33.0;152.6;0.322
