;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
2010.0;8.0;6.0;-5.0;-6.0;-8.0;-8.0;1.0;4.0;7.0;2.0;2.0;5.0;-4.0;-1.0;1.0;-4.0;-4.0;2.0;72.16;12.0;0.0;8.0;8.0;0.0;4.0;15.0;;0.0;3.0;-56.75;-78.74;-1.0;-95.88;;-95.77;-11.76;-11.76;1.0;;3.0;0.0;3.0;1.0;;0.0;2.0;0.0;1.0;2.0;;;;3.0;;1.0;0.0;;0.0;1.0;;;;0.0;0.0;;;;61.0;-57.0;-1.0;2.0;7.0;0.0;7.0;;-8.0;3.0;;0.0;-0.0;;;;-0.0;1.0;-0.0;-1.0;;0.0;-0.0;-0.0;1.0;;;;0.0;3.0;7.0;;0.84;14.34;-13.73;-6.89;;0.57;8.13;1.0;-1.5;-0.1;;10.0;-78.7;4.0;-9.0;;-95.8;2.0;;6.0;-164.6;-114.2;-168.9;100.0;;0.84
2011.0;20.0;17.0;2.0;1.0;1.0;1.0;1.0;7.0;10.0;2.0;2.0;7.0;2.0;0.0;-0.0;2.0;2.0;2.0;88.87;16.0;5.0;12.0;8.0;3.0;;18.0;;0.0;1.0;8.8;5.28;-0.0;4.93;;4.98;1.32;1.32;1.0;;5.0;;5.0;1.0;;1.0;1.0;0.0;2.0;2.0;;;;3.0;;1.0;0.0;;0.0;1.0;;;;0.0;0.0;;;;78.0;-72.0;-6.0;8.0;9.0;0.0;10.0;;1.0;1.0;;0.0;-0.0;0.0;;;0.0;1.0;-0.0;;;;0.0;-0.0;;;;;-0.0;5.0;4.0;;1.07;25.29;1.26;2.9;;0.19;9.15;1.0;79.9;4.9;;18.0;5.3;1.0;1.0;;5.0;4.0;;7.0;14.8;11.4;13.8;100.0;;1.072
2012.0;4.0;2.0;-5.0;-6.0;-5.0;-5.0;1.0;10.0;17.0;2.0;2.0;15.0;-8.0;1.0;11.0;4.0;-8.0;2.0;47.21;13.0;4.0;12.0;7.0;4.0;-3.0;15.0;1.0;0.0;1.0;-126.8;-160.03;1.0;-143.5;;-143.25;-6.59;-6.59;1.0;;9.0;0.0;9.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;5.0;;;7.0;;0.0;0.0;;0.0;1.0;;;;0.0;0.0;;;;85.0;-74.0;4.0;;17.0;0.0;17.0;;-5.0;1.0;;2.0;0.0;0.0;;;0.0;-5.0;-0.0;0.0;;;1.0;-1.0;11.0;;;1.0;0.0;9.0;5.0;;1.02;4.49;-6.43;-9.43;;0.09;17.33;1.0;-10.9;-0.7;;4.0;-160.0;1.0;-5.0;;-143.2;8.0;;14.0;-36.5;-32.2;-37.1;100.0;;1.023
2013.0;3.0;1.0;-8.0;-8.0;-9.0;-8.0;1.0;2.0;8.0;2.0;2.0;5.0;-7.0;-0.0;0.0;-7.0;-7.0;2.0;42.39;10.0;3.0;11.0;6.0;5.0;-5.0;11.0;0.0;0.0;0.0;-262.38;-269.72;-0.0;-276.84;;-275.33;-10.08;-10.08;1.0;;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;;;5.0;;1.0;;;0.0;1.0;;;;0.0;0.0;;;;77.0;-75.0;4.0;;7.0;0.0;8.0;;-8.0;0.0;;0.0;1.0;0.0;;;0.0;0.0;-0.0;0.0;;;-0.0;-0.0;0.0;;;-0.0;0.0;2.0;8.0;;0.91;4.01;-11.03;-8.98;;0.06;6.69;1.0;-4.4;-0.3;;3.0;-269.7;0.0;-9.0;;-275.3;0.0;;6.0;-161.5;-112.9;-164.9;100.0;;0.914
2014.0;4.0;3.0;-9.0;-9.0;-10.0;-10.0;1.0;4.0;6.0;2.0;5.0;2.0;-10.0;0.0;11.0;1.0;-10.0;2.0;59.74;12.0;3.0;10.0;4.0;6.0;-1.0;14.0;0.0;1.0;0.0;-198.12;-204.51;-1.0;-222.04;;-221.84;-9.29;-9.29;1.0;;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;;;2.0;;1.0;;;0.0;1.0;2.0;;;0.0;2.0;;;;85.0;-87.0;4.0;;6.0;;6.0;;-10.0;0.0;;0.0;-1.0;-1.0;;;-1.0;0.0;-0.0;-0.0;-0.0;1.0;-0.0;;7.0;;;5.0;-0.0;3.0;2.0;;0.94;4.45;-9.87;-10.76;;0.05;1.78;1.0;-2.1;-0.1;;5.0;-204.5;0.0;-10.0;;-221.8;2.0;3.0;2.0;-212.7;-139.4;-554.0;100.0;;0.943
2015.0;2.0;1.0;-6.0;-6.0;-7.0;-7.0;2.0;15.0;16.0;1.0;1.0;15.0;-7.0;2.0;18.0;12.0;-8.0;1.0;55.7;8.0;2.0;7.0;4.0;3.0;-1.0;9.0;0.0;0.0;0.0;-413.2;-402.56;-1.0;-437.9;;-437.9;-3.54;-3.54;2.0;;14.0;0.0;14.0;1.0;0.0;0.0;0.0;;1.0;1.0;;;;1.0;;0.0;0.0;;0.0;1.0;;;;0.0;0.0;;;;89.0;-78.0;4.0;;16.0;;16.0;;-7.0;0.0;;0.0;0.0;0.0;;;1.0;-1.0;-0.0;2.0;;;0.0;;18.0;;;-0.0;0.0;14.0;2.0;;0.77;1.05;-4.6;-5.16;;0.1;9.9;2.0;-3.2;-0.2;;2.0;-402.6;0.0;-9.0;;-437.9;18.0;;19.0;-45.0;-41.2;-46.5;100.0;;0.77
2016.0;1.0;0.0;-6.0;-6.0;-6.0;-6.0;3.0;9.0;10.0;1.0;1.0;9.0;-6.0;-0.0;-0.0;-5.0;-6.0;1.0;9.89;6.0;2.0;5.0;3.0;2.0;-0.0;7.0;0.0;0.0;0.0;-975.03;-1025.84;;-1025.84;;-1025.84;-2.04;-2.04;3.0;;8.0;0.0;8.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;1.0;;0.0;;;;1.0;;;;0.0;0.0;;;;86.0;-82.0;5.0;;10.0;;10.0;;-6.0;0.0;;0.0;-0.0;0.0;;;0.0;0.0;-0.0;;;;0.0;;;;;-0.0;1.0;8.0;14.0;;0.74;0.27;-2.76;-2.62;;0.1;3.88;3.0;-2.9;-0.1;;1.0;-1025.8;0.0;-8.0;;-1025.8;11.0;;12.0;-70.5;-63.4;-71.2;100.0;;0.745
2017.0;0.0;0.0;-6.0;-6.0;-6.0;-6.0;4.0;9.0;9.0;1.0;1.0;8.0;-5.0;-0.0;5.0;-0.0;-5.0;0.0;5.03;6.0;2.0;4.0;2.0;2.0;-0.0;6.0;0.0;0.0;0.0;-1542.94;-1542.0;-0.0;-1620.78;;-1620.78;-1.72;-1.72;4.0;;8.0;0.0;8.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;0.0;0.0;;;;94.0;-91.0;5.0;;9.0;;9.0;;-6.0;0.0;;0.0;0.0;0.0;;;0.0;1.0;-0.0;;;;0.0;;6.0;;;-1.0;-0.0;8.0;9.0;;0.77;0.14;-2.22;-1.86;;0.06;2.79;4.0;-1.9;-0.1;;1.0;-1542.0;0.0;-8.0;;-1620.8;10.0;;11.0;-78.7;-69.1;-79.4;100.0;;0.769
2018.0;0.0;-0.0;-4.0;-4.0;-4.0;-4.0;4.0;4.0;5.0;1.0;1.0;3.0;-4.0;-0.0;-0.0;-4.0;-4.0;0.0;-58.56;4.0;2.0;3.0;2.0;1.0;-0.0;5.0;0.0;0.0;0.0;-2711.32;-3158.35;0.0;-2887.06;;-2887.06;-0.91;-0.91;4.0;;4.0;0.0;4.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;0.0;0.0;;;;91.0;-91.0;4.0;;5.0;;5.0;;-4.0;0.0;;0.0;0.0;0.0;;;-0.0;-0.0;-0.0;;;;;;;;;-0.0;0.0;4.0;8.0;;0.74;0.04;-1.26;-1.29;;0.0;1.08;4.0;-4.0;-0.2;;0.0;-3158.3;0.0;-5.0;;-2887.1;5.0;;5.0;-115.3;-88.1;-116.0;100.0;;0.74
2019.0;0.0;-0.0;-4.0;-4.0;-5.0;-5.0;5.0;2.0;2.0;1.0;1.0;1.0;;-0.0;2.0;-2.0;-4.0;0.0;-985.78;4.0;2.0;3.0;3.0;0.0;-1.0;4.0;0.0;0.0;;-25175.18;-24214.56;-0.0;-25253.91;;-25253.91;-0.94;-0.94;5.0;;1.0;0.0;2.0;1.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;0.0;0.0;;;;88.0;-91.0;4.0;;2.0;;2.0;;-5.0;;;;;;;;;5.0;-0.0;;-0.0;;0.0;;2.0;;;-0.0;0.0;1.0;4.0;;0.7;0.01;-1.37;-1.3;;0.01;0.38;5.0;-2.0;-0.1;;0.0;-24214.6;;-6.0;;-25253.9;2.0;;2.0;-361.5;-196.2;-362.8;100.0;;0.702
2020.0;0.0;-0.0;-4.0;-4.0;-4.0;-4.0;7.0;10.0;11.0;1.0;2.0;9.0;;0.0;13.0;8.0;-4.0;0.0;-2449.79;4.0;2.0;3.0;3.0;0.0;-1.0;4.0;0.0;0.0;;-61679.92;-61679.92;-0.0;-61830.19;;-61830.19;-0.62;-0.62;7.0;;10.0;;10.0;1.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;1.0;0.0;;;1.0;1.0;;0.0;;97.0;-94.0;6.0;;11.0;;11.0;;-4.0;;;;;;;;;4.0;-0.0;;;0.0;0.0;-0.0;15.0;;;-2.0;-0.0;10.0;1.0;;0.69;0.0;-0.88;-0.83;;0.01;1.88;7.0;-3.8;-0.1;;0.0;-61679.9;;-6.0;;-61830.2;14.0;0.0;13.0;-42.7;-38.9;-46.9;100.0;;0.69
2021.0;0.0;-0.0;-5.0;-5.0;-5.0;-5.0;14.0;17.0;17.0;1.0;1.0;16.0;;-0.0;10.0;5.0;-5.0;0.0;-199.47;5.0;2.0;4.0;3.0;1.0;-1.0;6.0;0.0;0.0;;-5859.26;-6007.46;0.0;-5870.91;;-5870.91;-35.99;-35.99;14.0;;16.0;;16.0;1.0;0.0;0.0;0.0;;;;;;0.0;1.0;;0.0;0.0;;0.0;1.0;0.0;;;0.0;0.0;;0.0;;115.0;-107.0;8.0;;17.0;;17.0;;-5.0;;;;;;;;;5.0;-0.0;;;;;;;;;10.0;-0.0;16.0;11.0;;0.75;0.01;-0.5;-0.51;;0.05;1.51;14.0;-7.9;-0.3;;0.0;-6007.5;;-7.0;;-5870.9;21.0;0.0;22.0;-32.8;-30.7;-32.9;100.0;;0.75
