;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
2011.0;0.0;0.0;-7.0;-7.0;-7.0;-7.0;4.0;10.0;10.0;2.0;2.0;7.0;-5.0;-0.0;9.0;4.0;-5.0;;100.0;7.0;2.0;4.0;4.0;0.0;0.0;7.0;;0.0;0.0;-3925.76;-3852.82;-0.0;-3947.45;;-3947.45;-1.67;-1.67;4.0;;9.0;;9.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;0.0;;;1.0;;;;0.0;0.0;;;;;-91.0;10.0;;10.0;;10.0;;-7.0;0.0;;;2.0;-0.0;;0.0;-0.0;0.0;-0.0;;;;-0.0;;;;;9.0;-0.0;9.0;6.0;;1.07;0.04;-1.56;-1.11;;0.0;1.68;4.0;-7.4;-0.5;;0.0;-3852.8;0.0;-6.0;;-3947.4;7.0;;7.0;-92.7;-71.3;-92.8;100.0;;1.072
2012.0;3.0;3.0;-5.0;-5.0;-5.0;-5.0;5.0;7.0;8.0;2.0;2.0;6.0;-7.0;-0.0;4.0;-3.0;-7.0;;100.0;8.0;4.0;4.0;4.0;0.0;0.0;8.0;;0.0;0.0;-206.06;-210.43;0.0;-207.3;;-207.3;-1.12;-1.12;5.0;;6.0;;6.0;2.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;;1.0;;;;0.0;0.0;;;;;-92.0;10.0;;8.0;;8.0;;-5.0;0.0;;;-2.0;-2.0;;-0.0;0.0;0.0;-0.0;;;;;;4.0;;;-0.0;0.0;6.0;9.0;;1.02;0.53;-1.09;-1.43;;0.01;1.17;5.0;-10.3;-0.7;;3.0;-210.4;0.0;-5.0;;-207.3;6.0;;6.0;-92.9;-71.2;-93.2;100.0;;1.023
2013.0;0.0;4.0;-7.0;-7.0;-7.0;-7.0;6.0;16.0;16.0;3.0;3.0;13.0;-7.0;-0.0;14.0;7.0;-7.0;;2975.15;7.0;7.0;3.0;3.0;0.0;-3.0;7.0;0.0;0.0;0.0;-5134.61;-5171.41;0.0;-5161.66;;-5161.66;-1.26;-1.26;6.0;;12.0;;12.0;3.0;;0.0;0.0;;;;0.0;;;0.0;;0.0;1.0;;0.0;2.0;;;;0.0;0.0;;;;93.0;-89.0;10.0;;16.0;;16.0;;-7.0;0.0;;1.0;-1.0;-2.0;;1.0;0.0;0.0;-0.0;;-0.0;;;;15.0;;;-1.0;0.0;12.0;5.0;;0.91;0.03;-1.38;-1.41;;0.0;2.48;6.0;-15.2;-0.9;;0.0;-5171.4;0.0;-8.0;;-5161.7;14.0;;14.0;-55.6;-45.5;-55.7;100.0;;0.914
2014.0;0.0;8.0;-13.0;-12.0;-13.0;-13.0;7.0;39.0;39.0;4.0;4.0;36.0;-13.0;-0.0;33.0;20.0;-13.0;;2256.66;12.0;14.0;3.0;3.0;0.0;-6.0;12.0;;0.0;0.0;-3649.75;-3450.6;-1.0;-3664.14;;-3664.14;-1.76;-1.76;7.0;;32.0;;32.0;7.0;;0.0;0.0;;;;0.0;;-0.0;0.0;;1.0;;;;3.0;;;;0.0;0.0;;;;132.0;-105.0;8.0;;39.0;;39.0;;-13.0;0.0;;;-2.0;;;;0.0;2.0;-0.0;;;;;-1.0;35.0;;;-2.0;-1.0;32.0;13.0;;0.94;0.05;-1.87;-1.9;;0.0;5.28;7.0;-12.1;-0.7;;0.0;-3450.6;0.0;-13.0;;-3664.1;38.0;;38.0;-35.3;-31.9;-35.4;100.0;;0.943
2015.0;0.0;0.0;-5.0;-8.0;-5.0;-5.0;8.0;32.0;32.0;2.0;2.0;30.0;-8.0;-0.0;5.0;1.0;-8.0;;100.0;8.0;9.0;3.0;3.0;0.0;-4.0;8.0;;;0.0;-3310.01;-5901.05;4.0;-3327.87;;-3327.87;-0.54;-0.54;8.0;;27.0;0.0;27.0;5.0;;0.0;0.0;;;;0.0;;-0.0;0.0;;0.0;;;;2.0;;;;0.0;0.0;;;;113.0;-90.0;7.0;;32.0;;32.0;;-5.0;0.0;;0.0;-0.0;1.0;;-1.0;0.0;-4.0;-0.0;;-0.0;;;;5.0;;;-0.0;4.0;27.0;26.0;;0.77;0.02;-0.7;-1.3;;0.0;4.67;8.0;-10.0;-0.5;;0.0;-5901.1;0.0;-6.0;;-3327.9;39.0;;39.0;-15.0;-14.1;-15.0;100.0;;0.77
2016.0;0.0;;-6.0;-6.0;-6.0;-6.0;9.0;25.0;25.0;2.0;2.0;23.0;-6.0;-0.0;;-5.0;-6.0;;;6.0;7.0;3.0;3.0;;-3.0;6.0;;;0.0;-5402.29;-6019.19;1.0;-5418.28;;-5418.28;-0.65;-0.65;9.0;;21.0;;21.0;4.0;;0.0;0.0;;;;0.0;;;0.0;;0.0;;;;2.0;;;;0.0;0.0;;;;109.0;-93.0;7.0;;25.0;;25.0;;-6.0;0.0;;-0.0;1.0;1.0;;-0.0;0.0;-1.0;-0.0;;;0.0;;;;;;;1.0;21.0;26.0;;0.74;0.02;-0.87;-0.83;;0.0;3.53;9.0;-4.4;-0.2;;0.0;-6019.2;0.0;-8.0;;-5418.3;31.0;;31.0;-24.6;-22.9;-24.6;100.0;;0.745
2017.0;0.0;;-6.0;-5.0;-6.0;-6.0;9.0;19.0;19.0;1.0;1.0;18.0;-5.0;-0.0;-0.0;-5.0;-5.0;;;5.0;4.0;3.0;3.0;;-2.0;5.0;0.0;;0.0;-5680.49;-5197.94;-1.0;-5696.6;;-5696.6;-0.65;-0.65;9.0;;17.0;0.0;17.0;2.0;;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;0.0;0.0;;;;111.0;-94.0;2.0;;19.0;;19.0;;-6.0;0.0;;0.0;1.0;1.0;;-1.0;0.0;1.0;-0.0;;;;;;;;;-0.0;-1.0;17.0;22.0;;0.77;0.01;-0.85;-0.66;;0.0;2.66;9.0;-3.4;-0.1;;0.0;-5197.9;0.0;-8.0;;-5696.6;24.0;;24.0;-31.8;-29.8;-31.8;100.0;;0.769
2018.0;0.0;;-6.0;;-6.0;-6.0;9.0;14.0;14.0;2.0;2.0;12.0;-5.0;-0.0;-0.0;-5.0;-5.0;;;6.0;5.0;3.0;3.0;;-2.0;6.0;0.0;;0.0;-4097.91;;-0.0;-4108.75;;-4108.75;-0.69;-0.69;9.0;;11.0;0.0;11.0;2.0;;0.0;0.0;;;;;;;0.0;;1.0;;;;1.0;;;;0.0;0.0;;;;107.0;-96.0;1.0;;14.0;;14.0;;-6.0;0.0;;1.0;1.0;-0.0;;1.0;-0.0;0.0;-0.0;;;0.0;;;;;;-0.0;-0.0;11.0;16.0;;0.74;0.02;-0.93;-0.71;;0.01;1.81;9.0;-2.3;-0.1;;0.0;;0.0;-8.0;;-4108.8;16.0;;16.0;-51.4;-44.1;-51.4;100.0;;0.74
2019.0;0.0;;-9.0;;-9.0;-9.0;10.0;14.0;14.0;2.0;2.0;12.0;-10.0;-0.0;9.0;-1.0;-10.0;;;9.0;9.0;3.0;3.0;;-3.0;9.0;0.0;;0.0;-11339.93;;0.0;-11367.29;;-11367.29;-0.84;-0.84;10.0;;10.0;;10.0;3.0;;0.0;0.0;;;;;;;0.0;;1.0;;;;1.0;;;;0.0;0.0;;;;110.0;-99.0;1.0;;14.0;;14.0;;-9.0;0.0;;0.0;-1.0;;;;0.0;-0.0;-0.0;;;;;;9.0;;;-0.0;0.0;10.0;11.0;;0.7;0.01;-1.2;-1.36;;0.0;1.61;10.0;-1.2;-0.0;;0.0;;0.0;-12.0;;-11367.3;17.0;;17.0;-74.4;-62.0;-74.5;100.0;;0.702
2020.0;;;-9.0;;-9.0;-9.0;15.0;7.0;7.0;2.0;2.0;5.0;-7.0;-0.0;3.0;-4.0;-7.0;;;9.0;7.0;2.0;2.0;;0.0;9.0;0.0;;0.0;-inf;;0.0;-inf;;-inf;-0.46;-0.46;15.0;;6.0;;6.0;0.0;;0.0;0.0;;;;;;;0.0;;1.0;0.0;;;1.0;0.0;;;0.0;0.0;;0.0;;111.0;-107.0;1.0;;7.0;;7.0;;-9.0;0.0;;;3.0;;;;0.0;-0.0;-0.0;;;;;-0.0;3.0;;;-0.0;0.0;6.0;10.0;;0.69;;-0.9;-0.63;;0.0;0.48;15.0;-1.7;-0.0;;;;0.0;-13.0;;-inf;7.0;0.0;7.0;-192.0;-139.4;-188.2;100.0;;0.69
2021.0;;;-11.0;;-11.0;-11.0;28.0;25.0;25.0;2.0;2.0;23.0;;-0.0;28.0;14.0;-13.0;;;11.0;9.0;5.0;5.0;;-3.0;11.0;0.0;;0.0;-inf;;-0.0;-inf;;-inf;-0.4;-0.4;28.0;;21.0;;21.0;3.0;;1.0;0.0;;;;;;;0.0;;1.0;0.0;;;1.0;0.0;;;0.0;0.0;;0.0;;148.0;-127.0;2.0;;25.0;;25.0;;-11.0;0.0;;;;;;;;11.0;-0.0;;;;;;29.0;;;-2.0;-0.0;21.0;7.0;;0.75;;-0.54;-0.62;;0.0;1.08;28.0;-2.7;-0.1;;;;0.0;-15.0;;-inf;30.0;0.0;30.0;-47.5;-43.2;-50.2;100.0;;0.75
