;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2009.0;;;;;;;43.0;;;;;;;;;;;;39.84;;;;;;;;;;;-0.74;-11.48;;-12.56;;-14.99;;;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138.55;-20.77;-39.64;1.33;20.27;108.25;43.0;-0.1;-0.0;79.6;6006.0;-11.5;507.0;-901.0;-12.9;-15.0;1294.0;2.0;4693.0;-12.8;-7.4;-19.2;1310.9;;
2010.0;;;;;;;50.0;;;;;;;;;;;;38.95;;;;;;;;;;;13.27;1.79;;-0.81;;0.25;;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134.05;0.34;-34.12;;26.69;76.95;50.0;5.3;0.3;;6710.0;1.8;661.0;17.0;149.0;0.3;-176.0;324.0;3852.0;-2.6;2.6;0.4;100.0;;
2011.0;;;;;;;178.0;;;;;;;;;;;;38.88;;;;;;;;;;;6.17;-5.51;;-7.54;;-7.54;;;178.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.61;-2.91;-1.23;;5.49;23.39;178.0;-1.5;-0.1;;6887.0;-5.5;686.0;-519.0;;-7.5;-47.0;605.0;4171.0;-5.2;-2.8;-12.5;100.0;0.0;
2012.0;;;;;;;179.0;;;;;;;;;;;;39.46;;;;;;;;;;;6.31;-2.12;;-4.98;;-4.98;;;179.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.13;-2.15;-3.19;;4.45;26.14;179.0;-1.3;-0.1;;7699.0;-2.1;692.0;-383.0;;-5.0;-36.0;390.0;4666.0;-3.9;-2.2;-8.2;100.0;;
2013.0;;;;;;;179.0;;;;;;;;;;;;44.57;;;;;;;;;;;17.53;-0.23;;5.27;;5.27;;;179.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.01;2.53;-1.97;;5.33;32.77;179.0;0.8;0.0;;8570.0;-0.2;848.0;452.0;;5.3;996.0;287.0;5851.0;10.2;6.2;7.7;100.0;;
2014.0;;;;;;;179.0;;;;;;;;;;;;41.33;;;;;;;;;;;16.4;5.5;;3.04;;3.04;;;179.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.59;1.78;-6.71;;9.3;35.35;179.0;1.1;0.1;;10460.0;5.5;1101.0;318.0;;3.0;755.0;787.0;6311.0;8.3;5.2;5.0;100.0;;
2015.0;206.0;82.0;33.0;13.0;6.0;6.0;179.0;129.0;260.0;113.0;145.0;115.0;25.0;-14.0;-10.0;1.0;10.0;124.0;39.93;69.0;;50.0;47.0;3.0;19.0;193.0;1.0;7.0;20.0;16.0;6.42;-7.0;2.92;0.0;2.92;0.03;0.03;179.0;;20.0;;20.0;98.0;4.0;8.0;96.0;0.0;9.0;9.0;0.0;;26.0;131.0;;20.0;42.0;;17.0;33.0;23.0;8.0;;1.0;32.0;;19.0;;23.0;-208.0;1.0;299.0;260.0;;260.0;;6.0;20.0;0.0;0.0;-9.0;-19.0;-1.0;;4.0;7.0;-15.0;;;;-0.0;-9.0;;;-3.0;2.0;-0.0;12.0;10.0;;0.02;72.06;2.1;0.22;;5.21;38.96;179.0;0.6;0.0;;12865.0;6.4;1272.0;375.0;0.0;2.9;1110.0;1288.0;6956.0;9.0;5.6;5.4;100.0;-770.6;0.016
2016.0;227.0;90.0;37.0;14.0;7.0;7.0;179.0;152.0;281.0;136.0;168.0;113.0;37.0;-24.0;-9.0;4.0;13.0;137.0;39.45;75.0;;53.0;48.0;4.0;23.0;213.0;0.0;7.0;24.0;16.47;6.38;-8.0;2.92;-0.0;2.92;0.04;0.04;179.0;;21.0;;21.0;111.0;11.0;9.0;96.0;0.0;9.0;9.0;0.0;;24.0;129.0;;29.0;47.0;;19.0;41.0;21.0;9.0;;1.0;31.0;;14.0;;21.0;-192.0;1.0;283.0;281.0;;281.0;;7.0;24.0;-0.0;1.0;2.0;-14.0;-8.0;;4.0;3.0;-24.0;;;;-1.0;-8.0;;;-3.0;2.0;-0.0;15.0;11.0;;0.02;84.21;2.46;3.45;0.9;5.27;40.13;179.0;0.4;0.0;82.9;15035.0;6.4;1598.0;438.0;-0.0;2.9;1033.0;1439.0;7165.0;9.6;5.4;6.1;57.4;26.0;0.015
2017.0;283.0;101.0;42.0;15.0;10.0;10.0;179.0;186.0;331.0;176.0;204.0;127.0;27.0;-25.0;-4.0;-2.0;1.0;182.0;35.6;86.0;;61.0;57.0;4.0;25.0;268.0;0.0;5.0;27.0;14.89;5.2;-5.0;3.49;0.0;3.49;0.06;0.06;179.0;;25.0;;25.0;135.0;18.0;8.0;102.0;0.0;8.0;9.0;1.0;;33.0;144.0;;42.0;59.0;;24.0;50.0;16.0;10.0;;2.0;28.0;;8.0;;23.0;-188.0;0.0;291.0;331.0;;331.0;;10.0;27.0;0.0;0.0;-20.0;-28.0;-7.0;;3.0;10.0;-26.0;;-1.0;;1.0;-9.0;5.0;;-3.0;3.0;-0.0;14.0;16.0;;0.02;103.24;3.6;4.65;0.95;9.03;42.01;179.0;0.3;0.0;86.4;18432.0;5.2;1759.0;642.0;0.1;3.5;1047.0;1391.0;7501.0;10.3;5.3;8.6;61.3;20.5;0.015
2018.0;318.0;111.0;47.0;20.0;14.0;14.0;179.0;216.0;376.0;188.0;238.0;138.0;33.0;-28.0;-16.0;-11.0;4.0;206.0;35.05;92.0;;68.0;63.0;5.0;24.0;298.0;0.0;6.0;27.0;14.9;6.24;-6.0;4.46;0.0;4.46;0.08;0.08;179.0;;31.0;;31.0;165.0;10.0;11.0;111.0;0.0;9.0;9.0;2.0;;38.0;160.0;;44.0;57.0;;22.0;65.0;32.0;15.0;;2.0;50.0;;3.0;;23.0;-178.0;1.0;292.0;376.0;;376.0;;14.0;27.0;0.0;0.0;-20.0;-34.0;8.0;;5.0;11.0;-28.0;;-1.0;;-1.0;-6.0;0.0;;-3.0;-7.0;-0.0;3.0;14.0;;0.02;115.77;5.17;0.45;0.95;9.34;46.25;179.0;0.4;0.0;52.2;20686.0;6.2;1755.0;923.0;0.0;4.5;701.0;1068.0;8264.0;13.2;6.2;11.2;73.6;-163.4;0.015
2019.0;310.0;114.0;47.0;25.0;15.0;15.0;179.0;246.0;431.0;208.0;276.0;155.0;21.0;-57.0;44.0;8.0;-36.0;196.0;36.87;89.0;;70.0;66.0;4.0;19.0;285.0;0.0;9.0;22.0;15.02;8.14;-10.0;4.97;0.0;4.96;0.09;0.09;179.0;;28.0;;28.0;182.0;25.0;11.0;124.0;0.0;8.0;8.0;3.0;3.0;46.0;185.0;;43.0;71.0;;26.0;68.0;48.0;17.0;;2.0;68.0;;1.0;;26.0;-155.0;1.0;283.0;431.0;;431.0;;15.0;22.0;0.0;0.0;-27.0;-31.0;-15.0;;4.0;11.0;-57.0;;-1.0;;-2.0;-1.0;13.0;;-3.0;35.0;0.0;10.0;2.0;;0.01;120.28;5.97;1.61;1.16;10.23;50.27;179.0;0.2;0.0;82.0;21547.0;8.1;1534.0;1069.0;0.2;5.0;1851.0;2111.0;9005.0;13.9;7.0;11.9;77.4;68.2;0.014
2020.0;305.0;114.0;56.0;25.0;14.0;9.0;179.0;221.0;455.0;219.0;304.0;151.0;67.0;-57.0;0.0;10.0;7.0;191.0;37.41;89.0;;60.0;57.0;3.0;29.0;280.0;0.0;12.0;30.0;18.5;8.19;-11.0;4.44;4.0;3.07;0.05;0.05;179.0;;31.0;;31.0;160.0;17.0;12.0;208.0;0.0;9.0;9.0;3.0;1.0;13.0;234.0;;52.0;79.0;;25.0;63.0;69.0;13.0;;2.0;85.0;;24.0;;24.0;-136.0;1.0;262.0;455.0;;455.0;;9.0;30.0;4.0;1.0;-0.0;-4.0;5.0;;2.0;23.0;-60.0;;;;-2.0;-3.0;;;-3.0;6.0;0.0;19.0;9.0;;0.01;128.06;3.94;-14.1;1.22;22.14;60.14;179.0;0.3;0.0;112.6;22952.0;8.2;2291.0;705.0;30.8;3.1;2671.0;3356.0;10779.0;8.7;6.5;6.5;79.6;28.4;0.013
2021.0;332.0;131.0;73.0;33.0;22.0;21.0;182.0;235.0;501.0;231.0;321.0;180.0;95.0;-49.0;8.0;54.0;44.0;201.0;39.54;99.0;;62.0;61.0;1.0;37.0;300.0;1.0;12.0;39.0;21.94;9.83;-11.0;6.58;1.0;6.3;0.12;0.12;182.0;;70.0;;70.0;133.0;19.0;13.0;233.0;0.0;9.0;9.0;3.0;9.0;12.0;266.0;;49.0;86.0;;24.0;72.0;74.0;13.0;;3.0;90.0;;30.0;;25.0;-119.0;1.0;273.0;501.0;;501.0;;21.0;39.0;1.0;1.0;14.0;15.0;-2.0;;-2.0;20.0;-51.0;;-0.0;;-2.0;-3.0;;;;12.0;-0.0;74.0;19.0;;0.01;133.45;8.41;2.97;1.23;24.7;62.29;182.0;0.4;0.0;35.8;24320.0;9.8;2836.0;1532.0;4.3;6.3;143.0;5211.0;11351.0;13.5;7.3;13.5;68.3;41.3;0.014
2022.0;356.0;145.0;81.0;79.0;24.0;18.0;484.0;;;;;;;;;;;211.0;40.64;109.0;;65.0;;;43.0;320.0;;14.0;43.0;22.83;22.33;-55.0;6.83;6.0;5.01;0.04;0.04;484.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.85;2.8;6.64;;7.76;27.21;484.0;1.0;0.0;;27026.0;22.3;3298.0;1353.0;26.7;5.0;287.0;5415.0;13165.0;10.7;7.8;10.3;100.0;;0.013
